Model,Test_accuracy,Test_precision,Test_recall,Test_specificity,Test_f1,Test_auc,CV_accuracy,CV_precision,CV_recall,CV_f1,CV_auc
XGBoost,0.8043478260869565,0.6792452830188679,0.6545454545454545,0.8682170542635659,0.6666666666666666,0.7601127554615927,0.7202489625638424,0.4637571505875077,0.37182153468572643,0.3616456206153558,
GradientBoosting,0.7880434782608695,0.6428571428571429,0.6545454545454545,0.8449612403100775,0.6486486486486487,0.7525017618040875,0.7007529368551679,0.43793999971783587,0.3823178192421613,0.35954449451603526,
RandomForest,0.7880434782608695,0.6481481481481481,0.6363636363636364,0.8527131782945736,0.6422018348623854,0.7472868217054263,0.7134960898820054,0.43851631998953433,0.3526373180391037,0.3550275984902878,
Ensemble_stacking,0.7554347826086957,0.5735294117647058,0.7090909090909091,0.7751937984496124,0.6341463414634146,0.8548273431994362,,,,,
SVM,0.7282608695652174,0.5324675324675324,0.7454545454545455,0.7209302325581395,0.6212121212121212,0.8291754756871036,0.7220654166135867,0.4805202833786035,0.4579389921377704,0.4151871773756128,
LogisticRegression,0.7228260869565217,0.525,0.7636363636363637,0.7054263565891473,0.6222222222222222,0.7587033121916843,0.7237874208087717,0.5017375615900882,0.4883523409721718,0.456125728268863,
Ensemble_voting_soft,0.6847826086956522,0.48672566371681414,1.0,0.5503875968992248,0.6547619047619048,0.8883720930232557,,,,,
CNN1D,0.625,0.4426229508196721,0.9818181818181818,0.4728682170542636,0.6101694915254238,0.7978858350951374,,,,,
Ensemble_voting_hard,0.6195652173913043,0.44,1.0,0.4573643410852713,0.6111111111111112,0.8192389006342494,,,,,
CNN_LSTM,0.5163043478260869,0.3819444444444444,1.0,0.31007751937984496,0.5527638190954773,0.7871740662438337,,,,,
LSTM,0.29891304347826086,0.29891304347826086,1.0,0.0,0.4602510460251046,0.5802677942212826,,,,,
